KO	ID	KCLASS	KPATH	EC	NAME
K00873	PK	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.40	pyruvate kinase
K12406	PKLR	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.40	pyruvate kinase isozymes R/L
K00163	aceE	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.4.1	pyruvate dehydrogenase E1 component
K00161	PDHA	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.4.1	pyruvate dehydrogenase E1 component subunit alpha
K00162	PDHB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.4.1	pyruvate dehydrogenase E1 component subunit beta
K00627	DLAT	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.3.1.12	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K00382	DLD	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.8.1.4	dihydrolipoamide dehydrogenase
K13997	PDHX	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	NA	dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
K00169	porA	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.7.1	pyruvate ferredoxin oxidoreductase, alpha subunit
K00170	porB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.7.1	pyruvate ferredoxin oxidoreductase, beta subunit
K00171	porD	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.7.1	pyruvate ferredoxin oxidoreductase, delta subunit
K00172	porG	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.7.1	pyruvate ferredoxin oxidoreductase, gamma subunit
K00016	LDH	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.27	L-lactate dehydrogenase
K01568	E4.1.1.1	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.1.1	pyruvate decarboxylase
K13951	ADH1_7	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.1	alcohol dehydrogenase 1/7
K13980	ADH4	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.1	alcohol dehydrogenase 4
K00121	frmA	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K13952	ADH6	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.1	alcohol dehydrogenase 6
K04072	adhE	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.10	acetaldehyde dehydrogenase / alcohol dehydrogenase
K13953	adhP	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.1	alcohol dehydrogenase, propanol-preferring
K13954	yiaY	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.1	alcohol dehydrogenase
K00001	E1.1.1.1	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.1	alcohol dehydrogenase
K00002	E1.1.1.2	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.1.2	alcohol dehydrogenase (NADP+)
K14028	mdh1	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.2.7	methanol dehydrogenase (cytochrome c) subunit 1
K14029	mdh2	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.2.7	methanol dehydrogenase (cytochrome c) subunit 2
K00114	E1.1.2.8	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.1.2.8	alcohol dehydrogenase (cytochrome c)
K04022	eutG	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	NA	alcohol dehydrogenase
K00128	E1.2.1.3	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.3	aldehyde dehydrogenase (NAD+)
K14085	ALDH7A1	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.31	aldehyde dehydrogenase family 7 member A1
K00149	ALDH9A1	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.47	aldehyde dehydrogenase family 9 member A1
K00129	E1.2.1.5	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.5	aldehyde dehydrogenase (NAD(P)+)
K01895	ACSS	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	6.2.1.1	acetyl-CoA synthetase
K01905	E6.2.1.13	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	6.2.1.13	acetyl-CoA synthetase (ADP-forming)
K01785	E5.1.3.3	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.1.3.3	aldose 1-epimerase
K15917	GAL10	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.1.3.2	UDP-glucose 4-epimerase / aldose 1-epimerase
K01085	agp	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.1.3.10	glucose-1-phosphatase
K05344	E2.7.1.41	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.41	glucose-1-phosphate phosphodismutase
K01835	pgm	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.2	phosphoglucomutase
K15778	pmm-pgm	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.8	phosphomannomutase / phosphoglucomutase
K15779	PGM2	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.2	phosphoglucomutase / phosphopentomutase
K01084	G6PC	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.1.3.9	glucose-6-phosphatase
K00886	ppgK	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.63	polyphosphate glucokinase
K08074	ADPGK	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.147	ADP-dependent glucokinase
K00918	pfkC	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.146	ADP-dependent phosphofructokinase/glucokinase
K01792	E5.1.3.15	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.1.3.15	glucose-6-phosphate 1-epimerase
K01837	BPGM	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.4	bisphosphoglycerate mutase
K03738	E1.2.7.5	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.7.5	aldehyde:ferredoxin oxidoreductase
K11389	E1.2.7.6	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.7.6	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
K00131	E1.2.1.9	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.9	glyceraldehyde-3-phosphate dehydrogenase (NADP)
K01596	E4.1.1.32	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)
K01610	E4.1.1.49	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)
K01222	E3.2.1.86A	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.2.1.86	6-phospho-beta-glucosidase
K01223	E3.2.1.86B	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.2.1.86	6-phospho-beta-glucosidase
K02777	PTS-Glc-EIIA	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.69	PTS system, glucose-specific IIA component
K02778	PTS-Glc-EIIB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.69	PTS system, glucose-specific IIB component
K02779	PTS-Glc-EIIC	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	NA	PTS system, glucose-specific IIC component
K02790	PTS-Mal-EIIB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.69	PTS system, maltose and glucose-specific IIB component
K02791	PTS-Mal-EIIC	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	NA	PTS system, maltose and glucose-specific IIC component
K02749	PTS-Arb-EIIB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.69	PTS system, arbutin-like IIB component
K02750	PTS-Arb-EIIC	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	NA	PTS system, arbutin-like IIC component
K02752	PTS-Asc-EIIB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.69	PTS system, arbutin-, cellobiose-, and salicin-specific IIB component
K02753	PTS-Asc-EIIC	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	NA	PTS system, arbutin-, cellobiose-, and salicin-specific IIC component
K01647	CS	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	2.3.3.1	citrate synthase
K01648	ACLY	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	2.3.3.8	ATP citrate (pro-S)-lyase
K15230	aclA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	2.3.3.8	ATP-citrate lyase alpha-subunit
K15231	aclB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	2.3.3.8	ATP-citrate lyase beta-subunit
K01681	ACO	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.2.1.3	aconitate hydratase 1 / homoaconitase
K01682	acnB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.2.1.3	aconitate hydratase 2 / 2-methylisocitrate dehydratase
K00031	IDH1	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.1.1.42	isocitrate dehydrogenase
K00030	IDH3	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.1.1.41	isocitrate dehydrogenase (NAD+)
K00164	OGDH	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.4.2	2-oxoglutarate dehydrogenase E1 component
K00658	DLST	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	2.3.1.61	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
K00382	DLD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.8.1.4	dihydrolipoamide dehydrogenase
K00174	korA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.3	2-oxoglutarate ferredoxin oxidoreductase subunit alpha
K00175	korB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.3	2-oxoglutarate ferredoxin oxidoreductase subunit beta
K00177	korG	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.3	2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00176	korD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.3	2-oxoglutarate ferredoxin oxidoreductase subunit delta
K01902	sucD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	6.2.1.5	succinyl-CoA synthetase alpha subunit
K01903	sucC	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	6.2.1.5	succinyl-CoA synthetase beta subunit
K01899	LSC1	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	6.2.1.4	succinyl-CoA synthetase alpha subunit
K01900	LSC2	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	6.2.1.4	succinyl-CoA synthetase beta subunit
K00239	sdhA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.3.99.1	succinate dehydrogenase flavoprotein subunit
K00240	sdhB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.3.99.1	succinate dehydrogenase iron-sulfur subunit
K00241	sdhC	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	NA	succinate dehydrogenase cytochrome b556 subunit
K00242	sdhD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	NA	succinate dehydrogenase membrane anchor subunit
K00244	frdA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.3.99.1	fumarate reductase flavoprotein subunit
K00245	frdB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.3.99.1	fumarate reductase iron-sulfur subunit
K00246	frdC	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	NA	fumarate reductase subunit C
K00247	frdD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	NA	fumarate reductase subunit D
K00234	SDHA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.3.5.1	succinate dehydrogenase (ubiquinone) flavoprotein subunit
K00235	SDHB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.3.5.1	succinate dehydrogenase (ubiquinone) iron-sulfur subunit
K00236	SDHC	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	NA	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	SDHD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	NA	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K01676	E4.2.1.2A	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.2.1.2	fumarate hydratase, class I
K01677	E4.2.1.2AA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.2.1.2	fumarate hydratase subunit alpha
K01678	E4.2.1.2AB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.2.1.2	fumarate hydratase subunit beta
K01679	E4.2.1.2B	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.2.1.2	fumarate hydratase, class II
K00025	MDH1	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.1.1.37	malate dehydrogenase
K00026	MDH2	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.1.1.37	malate dehydrogenase
K00024	mdh	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.1.1.37	malate dehydrogenase
K01958	PC	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	6.4.1.1	pyruvate carboxylase
K01959	E6.4.1.1A	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	6.4.1.1	pyruvate carboxylase subunit A
K01960	E6.4.1.1B	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	6.4.1.1	pyruvate carboxylase subunit B
K01610	E4.1.1.49	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)
K01596	E4.1.1.32	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)
K01643	citF	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.1.3.6	citrate lyase subunit alpha / citrate CoA-transferase
K01644	citE	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.1.3.6	citrate lyase subunit beta / citryl-CoA lyase
K01646	citD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	4.1.3.6	citrate lyase subunit gamma
K00163	aceE	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.4.1	pyruvate dehydrogenase E1 component
K00161	PDHA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.4.1	pyruvate dehydrogenase E1 component subunit alpha
K00162	PDHB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.4.1	pyruvate dehydrogenase E1 component subunit beta
K00627	DLAT	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	2.3.1.12	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K13997	PDHX	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	NA	dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
K00169	porA	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.1	pyruvate ferredoxin oxidoreductase, alpha subunit
K00170	porB	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.1	pyruvate ferredoxin oxidoreductase, beta subunit
K00171	porD	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.1	pyruvate ferredoxin oxidoreductase, delta subunit
K00172	porG	Metabolism	Carbohydrate-metabolism	Citrate-cycle-TCA-cycle	1.2.7.1	pyruvate ferredoxin oxidoreductase, gamma subunit
K01810	GPI	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.3.1.9	glucose-6-phosphate isomerase
K06859	pgi1	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.3.1.9	glucose-6-phosphate isomerase, archaeal
K13810	tal-pgi	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.2.1.2	transaldolase / glucose-6-phosphate isomerase
K15916	pgi-pmi	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.3.1.9	glucose/mannose-6-phosphate isomerase
K00036	G6PD	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.1.49	glucose-6-phosphate 1-dehydrogenase
K01057	PGLS	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	3.1.1.31	6-phosphogluconolactonase
K07404	pgl	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	3.1.1.31	6-phosphogluconolactonase
K13937	H6PD	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.1.47	hexose-6-phosphate dehydrogenase
K00033	E1.1.1.44	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.1.44	6-phosphogluconate dehydrogenase
K01783	rpe	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.1.3.1	ribulose-phosphate 3-epimerase
K00615	E2.2.1.1	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.2.1.1	transketolase
K00616	E2.2.1.2	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.2.1.2	transaldolase
K01807	rpiA	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.3.1.6	ribose 5-phosphate isomerase A
K01808	rpiB	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.3.1.6	ribose 5-phosphate isomerase B
K13812	fae-hps	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	NA	bifunctional enzyme Fae/Hps [EC:4.3.-.- 4.1.2.43]
K08093	hxlA	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.43	3-hexulose-6-phosphate synthase
K08094	hxlB	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.3.1.27	6-phospho-3-hexuloisomerase
K13831	hps-phi	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.43	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase
K01621	E4.1.2.9	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.9	phosphoketolase
K01619	deoC	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.4	deoxyribose-phosphate aldolase
K00852	rbsK	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.7.1.15	ribokinase
K01839	deoB	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.4.2.7	phosphopentomutase
K01835	pgm	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.4.2.2	phosphoglucomutase
K15778	pmm-pgm	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.4.2.8	phosphomannomutase / phosphoglucomutase
K15779	PGM2	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	5.4.2.2	phosphoglucomutase / phosphopentomutase
K05774	phnN	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.7.4.23	ribose 1,5-bisphosphokinase
K00948	PRPS	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.7.6.1	ribose-phosphate pyrophosphokinase
K01690	edd	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.2.1.12	phosphogluconate dehydratase
K01625	eda	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.14	2-dehydro-3-deoxyphosphogluconate aldolase / 4-hydroxy-2-oxoglutarate aldolase
K11395	kdgA	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	NA	2-keto-3-deoxy-gluconate aldolase [EC:4.1.2.-]
K00034	gdh	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.1.47	glucose 1-dehydrogenase
K00115	E1.1.99.10	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.99.10	glucose dehydrogenase (acceptor)
K00117	gcd	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.5.2	quinoprotein glucose dehydrogenase
K01053	E3.1.1.17	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	3.1.1.17	gluconolactonase
K06151	E1.1.99.3A	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.99.3	gluconate 2-dehydrogenase alpha chain
K06152	E1.1.99.3G	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.99.3	gluconate 2-dehydrogenase gamma chain
K00090	E1.1.1.215	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.1.215	gluconate 2-dehydrogenase
K11441	kguK	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.7.1.13	dehydrogluconokinase
K00032	E1.1.1.43	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.1.1.43	phosphogluconate 2-dehydrogenase
K00851	E2.7.1.12	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.7.1.12	gluconokinase
K05308	gnaD	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.2.1.39	gluconate dehydratase
K00874	kdgK	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.7.1.45	2-dehydro-3-deoxygluconokinase
K03738	E1.2.7.5	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	1.2.7.5	aldehyde:ferredoxin oxidoreductase
K11529	gk	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	2.7.1.165	glycerate 2-kinase
K01623	ALDO	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.13	fructose-bisphosphate aldolase, class I
K11645	fbaB	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.13	fructose-bisphosphate aldolase, class I
K01624	FBA	Metabolism	Carbohydrate-metabolism	Pentose-phosphate-pathway	4.1.2.13	fructose-bisphosphate aldolase, class II
